1,Justin,Smith,22,justin.smith@wiseway.com,888330582,2017-06-04,5800,PL74520596335062807720915196,podstawowe,4,98060791208
2,Daniel,Cox,40,daniel.cox@wiseway.com,265622418,2016-08-03,5600,PL92241449138620540676301639,pomaturalne,11,80060882242
3,Katherine,Le,19,katherine.le@wiseway.com,492617078,2017-09-29,5600,PL23053464677805660040268670,wyzsze magisterskie,0,01210860132
4,Brian,Rose,68,brian.rose@wiseway.com,474134113,2017-08-23,4800,PL26195066420107935849773119,srednie zawodowe,23,52032366743
5,Andrew,Townsend,38,andrew.townsend@wiseway.com,389004826,2017-07-15,5000,PL74734884022595435566442684,srednie zawodowe,19,82052803451
6,Nicholas,Holt,19,nicholas.holt@wiseway.com,141155645,2015-06-26,4800,PL78014256904459557150634872,doktoranckie,0,01242866410
7,Antonio,Jordan,40,antonio.jordan@wiseway.com,312694501,2016-07-13,5200,PL85001517880486098234198030,pomaturalne,4,80081594824
8,Michael,Stone,34,michael.stone@wiseway.com,476960748,2015-12-03,5000,PL86087255033648542884773160,podstawowe,11,86011563146
9,Jennifer,Castro,67,jennifer.castro@wiseway.com,207005291,2018-04-04,5800,PL37009524394959505507275454,wyzsze magisterskie,40,53080661851
10,Clayton,Miller,36,clayton.miller@wiseway.com,606900034,2018-10-25,5800,PL20764183506314790536101144,pomaturalne,13,84050488343
11,Cassidy,Kelley,37,cassidy.kelley@wiseway.com,237478357,2015-01-22,6000,PL60825237161587518849316951,srednie ogolne,2,83101888251
12,Laura,White,52,laura.white@wiseway.com,436131490,2016-02-15,5400,PL13367446783498303471101219,wyzsze licencjackie / inzynierskie,20,68072812048
13,Dana,Garcia,48,dana.garcia@wiseway.com,831276872,2015-07-01,5000,PL28067185530701280201296508,pomaturalne,29,72051361756
14,Ashley,Collier,39,ashley.collier@wiseway.com,327521033,2017-12-14,4800,PL52641120419150876709615331,pomaturalne,11,81021032011
15,Jessica,Bass,59,jessica.bass@wiseway.com,282175461,2017-07-05,4800,PL95888806837987194376356352,wyzsze licencjackie / inzynierskie,33,61061913507
16,Sylvia,Stevens,52,sylvia.stevens@wiseway.com,113030973,2016-03-25,6000,PL85089089950733974628913523,srednie ogolne,3,68121205867
17,Alicia,Byrd,56,alicia.byrd@wiseway.com,775037276,2016-07-29,5200,PL97775361153399947422392474,wyzsze magisterskie,17,64041335296
18,Tyler,Wise,62,tyler.wise@wiseway.com,409343954,2016-11-23,5600,PL19371054007869777228820813,srednie ogolne,44,58030335422
